Code,Latitude,Longitude
FLA,1.5894336,-75.56474579631328
RIW,43.064393249999995,-108.45899672083172
ELM,42.16082385,-76.8941293224737
YKM,46.566810149999995,-120.53679819122016
JFK,40.642947899999996,-73.7793733748521
GSP,34.8954456,-82.21722845651891
ATL,33.63779875,-84.42927118585675
FLL,26.072017000000002,-80.15099673135214
SPS,33.966119899999995,-98.48989708937393
SFB,28.775951900000003,-81.24123903765619
BUF,42.9402016,-78.73075229745353
ABE,40.651163100000005,-75.44225386838299
DAY,39.905318699999995,-84.22024542480268
CRW,38.37294755,-81.5942197333228
KOA,19.743906,-156.0422959812206
GRK,31.0616542,-97.8206033626794
DAB,29.181643899999997,-81.05426943154424
CPR,42.9054243,-106.46452761949675
MFE,26.17627985,-98.23960548288598
DLH,46.84188665,-92.20297537585256
CWA,44.7727172,-89.66716494412262
IMT,45.8213995,-88.11311416188468
SRQ,27.395988350000003,-82.55407423064528
FLO,34.185128950000006,-79.7253999100574
PWM,43.6461776,-70.31441197345607
ABR,45.446144000000004,-98.4206490345065
HYS,38.8454764,-99.2730373
BFM,30.6267668,-88.07030124023397
MSO,46.91686665,-114.08780053891442
DSM,41.534549299999995,-93.65923944589736
NCT,10.139287750000001,-85.44451575753375
JLN,37.15928825,-94.50090287254326
GNV,29.69230675,-82.27600055013724
BTR,30.5319743,-91.15042415051039
BWI,39.1828341,-76.6698273
SCK,37.8943699,-121.24363455870524
GSO,36.1020574,-79.94459695357142
UTA,39.3290743,-111.62615472051982
PIH,42.9074805,-112.5928392860736
HNL,21.32040435,-157.9173135198164
SJT,31.35468635,-100.49862454938886
BZN,45.78359005,-111.15697962783483
CGI,37.224715849999995,-89.56800317845975
CLL,30.58822845,-96.3641116417029
EWR,40.68906405,-74.17725485035348
TXC,54.4417623,30.303400564990273
MCO,28.412903550000003,-81.30944309752753
LYH,37.322173199999995,-79.20660297004885
LRD,27.547214750000002,-99.46147398713819
SBY,38.33941605,-75.51010495530244
SNA,33.67420559999999,-117.8680242970166
TVC,44.741737099999995,-85.58025348925887
PAH,37.0596,-88.773
EUG,44.124162749999996,-123.214917964354
ROC,43.1161699,-77.67269338979611
BIL,45.809234849999996,-108.54767517885944
BRL,40.779453000000004,-91.12337908615294
MCI,39.3023103,-94.72118991743454
PBI,26.6859478,-80.09248650717163
MIC,45.06193745,-93.352502343064
AKA,32.75565235,108.88129678211641
BPT,29.95237505,-94.0217808135379
DUJ,41.1795228,-78.8986431
MLU,32.5111077,-92.0384615
XNA,36.27981,-94.30259016595679
RUT,43.53221595,-72.95044299833523
ORF,36.8946697,-76.20229629965002
CRP,27.7702374,-97.50657535472868
ALW,46.094085699999994,-118.29121921165813
GCC,44.34685815,-105.53792618090927
AUS,30.19348925,-97.66500963529677
TSA,25.066476950000002,121.55488774434725
AZO,42.2307865,-85.5510419237961
COF,28.2380932,-80.6079035
NJA,35.454470549999996,139.44254746451332
GLH,33.4865987,-90.9887059080954
ILG,39.6796715,-75.60763354194484
TYR,32.351909649999996,-95.40208756131327
NYA,22.3160874,113.93647839996052
PIB,31.4672,-89.3363366
SFO,37.622451999999996,-122.38398938548363
DDC,37.7670112,-99.96431866049808
VCT,28.8540778,-96.91812068031307
CAK,40.9152061,-81.43992419328089
VRB,27.657214949999997,-80.41832980247389
MKL,35.6014507,-88.9161165
SGU,37.0342442,-113.50901654550276
JST,40.31459165,-78.83353249226279
OTZ,66.8836843,-162.61074661016386
ARA,30.033018249999998,-91.88190742881199
SAN,32.73336075,-117.19224641277626
HIB,47.38500865,-92.83874877590284
AAF,29.72834225,-85.0245864699153
CNY,38.768988699999994,-109.75079743909725
EGE,39.6425635,-106.917134720113
MCW,43.16076005,-93.32773199760902
DHN,31.321627,-85.44961351067215
GRR,42.876610299999996,-85.53629091575618
LNK,40.84731465,-96.75744255958236
RKS,41.59507585,-109.06842143015916
ERI,42.084710349999995,-80.17447235134125
TUL,36.2010229,-95.88681347118576
GJT,39.123415800000004,-108.52444920306618
IFP,35.154391,-114.55868214120348
SJU,18.44319945,-65.99743036847468
EKO,40.82550195,-115.78801112941872
IAH,29.9841416,-95.33298595614491
CHA,35.032383550000006,-85.20167788785842
PUB,38.298446850000005,-104.50330795944865
MSN,43.1420815,-89.33774533660622
CAA,14.87529595,-85.77497294897265
INL,48.5661049,-93.40407638044815
SGF,37.24298375,-93.3889140611615
COD,44.520751950000005,-109.02185342965336
CEC,41.7814506,-124.23807108485695
PAE,47.9088268,-122.27943020482658
ADK,51.875908300000006,-176.65039727374275
PNS,30.4725975,-87.18808592919096
PHL,39.875018,-75.23521278969667
PVU,40.2192141,-111.72057376868501
ALS,35.8210781,-77.3790233
MAF,31.946026099999997,-102.21061868215736
ELP,31.809584,-106.36659802997961
RSW,26.53294975,-81.75880562612211
BJI,47.5101068,-94.92982434625608
BOS,42.36317665,-71.01364006269452
JNU,58.3566191,-134.58019300175383
BOI,43.55988165,-116.20782253098173
ATW,44.25659495,-88.52169598755702
SAT,29.5334021,-98.46921443046924
HVN,41.2626111,-72.88563547283547
GDV,47.13812935,-104.80864332732662
LAR,41.3134545,-105.6728653935462
ACV,40.9763645,-124.10842589937442
MGW,39.642736,-79.9192332875
OTH,43.41549325,-124.2434654166912
PLN,45.56926645,-84.79695030499335
DCA,38.851289449999996,-77.03968893913375
SHD,38.26252605,-78.89996407081242
JAN,32.312110399999995,-90.07677829423244
PRC,22.3160874,113.93647839996052
MTJ,38.5118206,-107.89248795618495
PHX,33.43284865,-112.00679145657891
ITH,42.491802050000004,-76.46069464880836
BHM,33.56350085,-86.75151606755506
PPG,-14.3347658,-170.71596862723766
EAR,40.726652200000004,-99.00166250001115
ANC,61.18103525,-149.99789189730433
